Student_ID,Target_Career,Overall_GPA,Demographics,Study_Habits,Full_Profile_Text
39,Data Science,2.3,Suburban,Group Study,"I am in Semester 3 of my BS Artificial Intelligence degree. My overall GPA is 2.3. My background is Suburban and my study habit is Group Study. I received a F in Customizable 3Rdgeneration Complexity in Cybersecurity. I received a C in Universal Fault-Tolerant Software in Product. I received a D in Customizable Eco-Centric Moderator in Product. I received a C in Object-Based System-Worthy Superstructure in Cloud. I received a C in Centralized Systemic Throughput in Database. My acquired skills are Python, Python. My career goal is: Newspaper least hair deep run work maybe pass series allow business indicate stage phone."
40,Product Management,2.32,International,Weekend Crammer,"I am in Semester 1 of my BS Software Engineering degree. My overall GPA is 2.32. My background is International and my study habit is Weekend Crammer. I am a first-semester student with no university grades yet. My acquired skills are Java, SQL. My career goal is: The various evening professional either heart generation wife risk live car especially lead issue shake."
41,UI/UX Design,2.42,International,Weekend Crammer,"I am in Semester 8 of my BS Data Science degree. My overall GPA is 2.42. My background is International and my study habit is Weekend Crammer. I received a A in User-Centric Maximized Moderator in Product. I received a A in Open-Architected Asynchronous Help-Desk in Database. I received a A in Multi-Tiered Mission-Critical System Engine in Software. I received a F in Versatile Maximized Attitude in Data. I received a A in Multi-Channeled Content-Based Orchestration in Data. My acquired skills are Python, Linux. My career goal is: List as ground reveal thus mouth forget art pay finally produce brother once number find."
42,Product Management,2.16,Suburban,Group Study,"I am in Semester 8 of my BS Data Science degree. My overall GPA is 2.16. My background is Suburban and my study habit is Group Study. I received a C in Multi-Channeled Content-Based Orchestration in Data. I received a D in Open-Architected Asynchronous Help-Desk in Database. I received a C in Stand-Alone Interactive Local Area Network in Cybersecurity. I received a D in Multi-Tiered Analyzing Task-Force in Cloud. I received a D in Operative Impactful Throughput in Cybersecurity. My acquired skills are Agile, Java. My career goal is: Third court his hand to rich indicate similar draw indicate indeed top sign image between down."
43,AI Research,2.98,Suburban,Daily Consistent,"I am in Semester 8 of my BS Data Science degree. My overall GPA is 2.98. My background is Suburban and my study habit is Daily Consistent. I received a F in Compatible 24/7 Policy in Product. I received a B in Centralized System-Worthy Info-Mediaries in Cybersecurity. I received a C in Multi-Tiered Bi-Directional Installation in Database. I received a A in Mandatory Fresh-Thinking Concept in Software. I received a A in Synchronized Composite Architecture in AI. My acquired skills are Agile, AWS. My career goal is: Left quickly design long tell picture break."
44,Data Science,3.03,Urban,Daily Consistent,"I am in Semester 6 of my BS Data Science degree. My overall GPA is 3.03. My background is Urban and my study habit is Daily Consistent. I received a C in Face-To-Face Contextually-Based Utilization in Cloud. I received a C in Focused Fresh-Thinking Instruction Set in Product. I received a C in Multi-Tiered Analyzing Task-Force in Cloud. I received a A in Open-Architected Asynchronous Help-Desk in Database. I received a C in Down-Sized Secondary Challenge in Data. My acquired skills are Agile, Data Structures. My career goal is: Nice politics partner least behavior sign thus participant spend oil again section any improve."
45,UI/UX Design,3.93,International,Night Owl / Last Minute,"I am in Semester 1 of my BS Artificial Intelligence degree. My overall GPA is 3.93. My background is International and my study habit is Night Owl / Last Minute. I am a first-semester student with no university grades yet. My acquired skills are Communication, Figma. My career goal is: Wife Mrs whatever discussion strong keep shake need wall seat both."
46,UI/UX Design,2.43,Urban,Night Owl / Last Minute,"I am in Semester 3 of my BS Computer Science degree. My overall GPA is 2.43. My background is Urban and my study habit is Night Owl / Last Minute. I received a C in Ergonomic Coherent Encoding in Data. I received a A in Customizable Intermediate System Engine in Cloud. I received a C in Managed Actuating Adapter in Data. I received a F in Extended Even-Keeled Moderator in Data. I received a F in Fundamental Disintermediate Hardware in Database. My acquired skills are Communication, SQL. My career goal is: Same him west effort church poor reach rate smile close weight include report explain."
47,Database Administration,3.67,International,Weekend Crammer,"I am in Semester 4 of my BS Data Science degree. My overall GPA is 3.67. My background is International and my study habit is Weekend Crammer. I received a C in Multi-Channeled Content-Based Orchestration in Data. I received a B in Centralized System-Worthy Info-Mediaries in Cybersecurity. I received a D in Networked Disintermediate Interface in Cybersecurity. I received a C in Synchronized Composite Architecture in AI. I received a F in Fully-Configurable Secondary Circuit in UI/UX. My acquired skills are Java, Figma. My career goal is: Spend agency send although benefit power describe walk strong actually training."
48,Cloud Architecture,3.68,Rural,Night Owl / Last Minute,"I am in Semester 6 of my BS Software Engineering degree. My overall GPA is 3.68. My background is Rural and my study habit is Night Owl / Last Minute. I received a D in De-Engineered Empowering Installation in Database. I received a A in Optimized Global Portal in AI. I received a B in Realigned Reciprocal Structure in Cloud. I received a A in Enhanced Client-Server Intranet in Cloud. I received a C in Cross-Platform Client-Server Implementation in Cybersecurity. My acquired skills are Deep Learning, Linux. My career goal is: Business remain increase chance material throughout arrive wife expect drug lot perform."
49,Database Administration,2.49,Rural,Night Owl / Last Minute,"I am in Semester 3 of my BS Software Engineering degree. My overall GPA is 2.49. My background is Rural and my study habit is Night Owl / Last Minute. I received a A in Visionary Logistical Algorithm in UI/UX. I received a B in Enhanced Methodical Open System in Data. I received a F in Enhanced Client-Server Intranet in Cloud. I received a A in Secured Mobile Neural-Net in UI/UX. I received a B in Cross-Platform Client-Server Implementation in Cybersecurity. My acquired skills are Agile, Python. My career goal is: Worker easy yes begin month whole now whole list."
50,Product Management,2.47,Urban,Group Study,"I am in Semester 1 of my BS Software Engineering degree. My overall GPA is 2.47. My background is Urban and my study habit is Group Study. I am a first-semester student with no university grades yet. My acquired skills are Agile, Data Structures. My career goal is: Tend per together professor soon hundred father seven church accept forward."
51,UI/UX Design,2.74,International,Night Owl / Last Minute,"I am in Semester 8 of my BS Computer Science degree. My overall GPA is 2.74. My background is International and my study habit is Night Owl / Last Minute. I received a A in Extended Eco-Centric Internet Solution in Data. I received a C in Ergonomic Coherent Encoding in Data. I received a F in Universal Upward-Trending Access in Product. I received a D in Ergonomic Grid-Enabled Encoding in Software. I received a B in Object-Based Bottom-Line Installation in Cloud. My acquired skills are C++, C++. My career goal is: Father peace apply line hope community offer learn its quite us group blue ball road never."
52,AI Research,2.22,Urban,Daily Consistent,"I am in Semester 5 of my BS Software Engineering degree. My overall GPA is 2.22. My background is Urban and my study habit is Daily Consistent. I received a A in Phased Multi-Tasking Infrastructure in Database. I received a F in Enhanced Client-Server Intranet in Cloud. I received a F in Optimized Global Portal in AI. I received a B in Enhanced Methodical Open System in Data. I received a D in Object-Based Uniform Approach in Cybersecurity. My acquired skills are C++, Communication. My career goal is: Likely mind world successful at approach turn somebody politics rest father green."
53,Software Engineering,3.01,Urban,Daily Consistent,"I am in Semester 1 of my BS Software Engineering degree. My overall GPA is 3.01. My background is Urban and my study habit is Daily Consistent. I am a first-semester student with no university grades yet. My acquired skills are Python, Figma. My career goal is: Reveal baby those deep concern hear situation believe hope blue right play structure unit still significant."
54,Cloud Architecture,2.04,Suburban,Weekend Crammer,"I am in Semester 1 of my BS Software Engineering degree. My overall GPA is 2.04. My background is Suburban and my study habit is Weekend Crammer. I am a first-semester student with no university grades yet. My acquired skills are C++, Figma. My career goal is: Know add method her source begin political off general evidence."
55,Database Administration,2.1,International,Group Study,"I am in Semester 5 of my BS Artificial Intelligence degree. My overall GPA is 2.1. My background is International and my study habit is Group Study. I received a C in Versatile Asymmetric Model in Product. I received a B in Up-Sized Optimal Standardization in Cybersecurity. I received a D in Optimized Bottom-Line Knowledgebase in Cloud. I received a C in Right-Sized High-Level Artificial Intelligence in Product. I received a F in Customizable 3Rdgeneration Complexity in Cybersecurity. My acquired skills are Python, C++. My career goal is: Sea red reveal response particular cold office."
56,Data Science,2.17,Suburban,Group Study,"I am in Semester 4 of my BS Computer Science degree. My overall GPA is 2.17. My background is Suburban and my study habit is Group Study. I received a A in Profit-Focused Composite Groupware in UI/UX. I received a A in Progressive National Application in AI. I received a B in Focused Directional Concept in Cloud. I received a D in Extended Holistic Groupware in Cybersecurity. I received a C in Seamless Asynchronous Data-Warehouse in Cloud. My acquired skills are SQL, C++. My career goal is: Campaign community may very station determine window task star."
57,Database Administration,3.58,Suburban,Group Study,"I am in Semester 8 of my BS Data Science degree. My overall GPA is 3.58. My background is Suburban and my study habit is Group Study. I received a D in Multi-Tiered Bi-Directional Installation in Database. I received a A in Virtual Discrete Attitude in Cybersecurity. I received a C in Synchronized Composite Architecture in AI. I received a B in Digitized Next Generation Standardization in Cybersecurity. I received a F in Operative Impactful Throughput in Cybersecurity. My acquired skills are Java, Figma. My career goal is: Health address analysis expert sell final development southern weight manager anything news worker church above skin."
58,UI/UX Design,3.56,Rural,Night Owl / Last Minute,"I am in Semester 5 of my BS Artificial Intelligence degree. My overall GPA is 3.56. My background is Rural and my study habit is Night Owl / Last Minute. I received a B in Customizable 3Rdgeneration Complexity in Cybersecurity. I received a B in Virtual Asynchronous Framework in UI/UX. I received a F in Secured Neutral Forecast in Cloud. I received a D in Cross-Group Homogeneous Moratorium in Cybersecurity. I received a C in Switchable Grid-Enabled Definition in Product. My acquired skills are AWS, Java. My career goal is: Think deep difference himself read new public."
59,Cybersecurity,2.23,Urban,Night Owl / Last Minute,"I am in Semester 5 of my BS Computer Science degree. My overall GPA is 2.23. My background is Urban and my study habit is Night Owl / Last Minute. I received a A in Focused Directional Concept in Cloud. I received a C in Extended Holistic Groupware in Cybersecurity. I received a A in Object-Based Tangible Policy in Software. I received a B in Progressive National Application in AI. I received a F in Optional Attitude-Oriented Architecture in Product. My acquired skills are Figma, SQL. My career goal is: Culture visit for woman north imagine she any at area floor sense."
60,AI Research,3.99,Urban,Daily Consistent,"I am in Semester 4 of my BS Artificial Intelligence degree. My overall GPA is 3.99. My background is Urban and my study habit is Daily Consistent. I received a A in Configurable Multi-State Policy in Cybersecurity. I received a F in Object-Based System-Worthy Superstructure in Cloud. I received a C in Cross-Group Homogeneous Moratorium in Cybersecurity. I received a F in Virtual Asynchronous Framework in UI/UX. I received a A in Up-Sized Optimal Standardization in Cybersecurity. My acquired skills are Python, Deep Learning. My career goal is: Lot effort kid live control human center year available itself husband fear ten difference may."
